id,name,type,ra_hours,dec_deg,mag,size_arcmin
M1,Crab Nebula,Supernova Remnant,5.57555,22.0145,8.4,8.0
M2,M2,Globular Cluster,21.55750,-0.8233,6.2,8.4
M3,M3,Globular Cluster,13.70312,28.3754,6.4,16.2
M4,M4,Globular Cluster,16.39317,-26.5255,5.4,28.2
M5,M5,Globular Cluster,15.30938,2.0827,6.0,15.0
M6,Butterfly Cluster,Open Cluster,17.67243,-32.2542,4.2,15.6
M7,Ptolemy's Cluster,Open Cluster,17.89755,-34.7928,3.3,22.2
M8,Lagoon Nebula,Nebula,18.06146,-24.3802,5.8,45.0
M9,M9,Globular Cluster,17.31994,-18.5162,8.4,6.9
M10,M10,Globular Cluster,16.95250,-4.0993,5.0,9.3
M11,Amas de l'Ecu de Sobieski,Open Cluster,18.85166,-6.2700,5.8,9.0
M12,M12,Globular Cluster,16.78737,-1.9478,6.1,11.1
M13,Hercules Globular Cluster,Globular Cluster,16.69490,36.4613,5.8,16.5
M14,M14,Globular Cluster,17.62671,-3.2459,5.7,9.9
M15,M15,Globular Cluster,21.49955,12.1668,6.3,11.1
M16,Eagle Nebula,Nebula,18.31338,-13.8072,6.0,120.0
M17,Checkmark Nebula,Nebula,18.34642,-16.1715,7.0,12.6
M18,M18,Open Cluster,18.33291,-17.1020,6.9,6.0
M19,M19,Globular Cluster,17.04380,-26.2679,5.6,7.5
M20,Trifid Nebula,Nebula,18.04503,-22.9719,8.5,28.0
M21,M21,Open Cluster,18.07040,-22.4901,5.9,6.0
M22,M22,Globular Cluster,18.60672,-23.9034,6.2,12.6
M23,M23,Open Cluster,17.95133,-18.9853,5.5,16.8
M24,Small Sgr Star Cloud,Star Association,18.28226,-18.5146,4.5,120.0
M25,M25,Open Cluster,18.52966,-19.1149,4.6,14.1
M26,M26,Open Cluster,18.75518,-9.3836,8.9,6.0
M27,Dumbbell Nebula,Planetary Nebula,19.99344,22.7210,7.4,6.7
M28,M28,Globular Cluster,18.40914,-24.8698,6.9,5.1
M29,M29,Open Cluster,20.39938,38.5077,6.6,3.6
M30,M30,Globular Cluster,21.67278,-23.1791,7.1,9.0
M31,Andromeda Galaxy,Galaxy,0.71232,41.2691,3.4,177.8
M32,M32,Galaxy,0.71162,40.8653,8.1,7.7
M33,Triangulum Galaxy,Galaxy,1.56414,30.6602,5.8,62.1
M34,M34,Open Cluster,2.70206,42.7461,5.2,22.5
M35,M35,Open Cluster,6.15141,24.3386,5.1,24.0
M36,M36,Open Cluster,5.60493,34.1407,6.0,7.2
M37,M37,Open Cluster,5.87176,32.5530,5.6,11.4
M38,M38,Open Cluster,5.47847,35.8549,6.4,9.6
M39,M39,Open Cluster,21.53009,48.4382,4.6,19.5
M40,Winnecke 4,Double Star,12.37250,58.0828,9.6,0.8
M41,M41,Open Cluster,6.76665,-20.7542,4.5,12.0
M42,Great Orion Nebula,Cluster + Nebula,5.58791,-5.3897,4.0,90.0
M43,Mairan's Nebula,HII Region,5.59205,-5.2675,9.0,20.0
M44,Beehive,Open Cluster,8.67283,19.6721,3.1,108.6
M45,Pleiades,Open Cluster,3.78333,24.1167,1.6,110.0
M46,M46,Open Cluster,7.69634,-14.8100,6.1,21.0
M47,M47,Open Cluster,7.60973,-14.4826,4.4,19.8
M48,M48,Open Cluster,8.22866,-5.7504,5.8,28.2
M49,M49,Galaxy,12.49632,8.0005,8.3,10.2
M50,M50,Open Cluster,7.04458,-8.3640,5.9,14.1
M51,Whirlpool Galaxy,Galaxy,13.49797,47.1952,8.4,13.7
M52,M52,Open Cluster,23.41344,61.5932,6.9,9.9
M53,M53,Globular Cluster,13.21534,18.1691,7.8,9.0
M54,M54,Globular Cluster,18.91758,-30.4785,7.7,5.1
M55,M55,Globular Cluster,19.66650,-30.9621,6.5,12.0
M56,M56,Globular Cluster,19.27653,30.1845,8.4,5.8
M57,Ring Nebula,Planetary Nebula,18.89306,33.0286,8.8,1.3
M58,M58,Galaxy,12.62876,11.8182,10.3,5.0
M59,M59,Galaxy,12.70062,11.6470,9.6,4.5
M60,M60,Galaxy,12.72777,11.5527,8.8,6.8
M61,M61,Galaxy,12.36525,4.4736,10.2,6.9
M62,M62,Globular Cluster,17.02017,-30.1124,7.4,7.8
M63,Sunflower Galaxy,Galaxy,13.26370,42.0293,8.6,11.8
M64,Black Eye Galaxy,Galaxy,12.94546,21.6830,8.5,10.5
M65,M65,Galaxy,11.31553,13.0924,9.3,7.6
M66,M66,Galaxy,11.33749,12.9915,8.9,10.3
M67,M67,Open Cluster,8.85559,11.8119,6.9,33.0
M68,M68,Globular Cluster,12.65778,-26.7430,8.0,6.6
M69,M69,Globular Cluster,18.52312,-32.3480,8.3,5.7
M70,M70,Globular Cluster,18.72018,-32.2919,9.1,6.6
M71,M71,Globular Cluster,19.89614,18.7784,6.1,6.9
M72,M72,Globular Cluster,20.89109,-12.5371,9.0,4.5
M73,M73,Other,20.98221,-12.6355,8.9,
M74,M74,Galaxy,1.61160,15.7837,9.3,9.9
M75,M75,Globular Cluster,20.10134,-21.9222,8.3,3.6
M76,Barbell Nebula,Planetary Nebula,1.70547,51.5755,10.1,1.1
M77,M77,Galaxy,2.71131,-0.0133,9.3,6.1
M78,M78,Reflection Nebula,5.77939,0.0793,8.0,4.5
M79,M79,Globular Cluster,5.40294,-24.5242,8.2,7.2
M80,M80,Globular Cluster,16.28403,-22.9751,7.3,5.7
M81,Bode's Galaxy,Galaxy,9.92588,69.0653,6.9,21.6
M82,Cigar Galaxy,Galaxy,9.93131,69.6794,8.3,11.0
M83,Southern Pinwheel Galaxy,Galaxy,13.61693,-29.8654,7.2,13.6
M84,M84,Galaxy,12.41771,12.8870,9.8,7.4
M85,M85,Galaxy,12.42336,18.1915,9.1,7.0
M86,M86,Galaxy,12.43659,12.9462,8.9,11.5
M87,Virgo Galaxy,Galaxy,12.51373,12.3911,9.0,7.1
M88,M88,Galaxy,12.53310,14.4204,10.3,8.7
M89,M89,Galaxy,12.59439,12.5563,10.1,8.1
M90,M90,Galaxy,12.61383,13.1629,9.5,9.1
M91,M91,Galaxy,12.59068,14.4963,11.0,5.5
M92,M92,Globular Cluster,17.28535,43.1365,6.5,14.4
M93,M93,Open Cluster,7.74145,-23.8531,6.2,15.0
M94,M94,Galaxy,12.84807,41.1204,8.2,7.7
M95,M95,Galaxy,10.73269,11.7038,9.8,7.2
M96,M96,Galaxy,10.77937,11.8199,9.2,8.3
M97,Owl Nebula,Planetary Nebula,11.24659,55.0190,9.9,3.6
M98,M98,Galaxy,12.23008,14.9003,10.8,11.0
M99,Coma Pinwheel,Galaxy,12.31378,14.4165,9.8,5.0
M100,M100,Galaxy,12.38190,15.8218,9.5,6.1
M101,M101,Galaxy,14.05348,54.3489,7.9,24.0
M102,Spindle Galaxy,Galaxy,15.10822,55.7633,9.9,6.5
M103,M103,Open Cluster,1.55606,60.6580,7.4,4.5
M104,Sombrero Galaxy,Galaxy,12.66651,-11.6231,8.6,8.4
M105,M105,Galaxy,10.79711,12.5816,9.3,4.9
M106,M106,Galaxy,12.31597,47.3040,9.3,17.0
M107,M107,Globular Cluster,16.54220,-13.0536,8.8,7.8
M108,M108,Galaxy,11.19194,55.6741,10.1,4.0
M109,M109,Galaxy,11.95999,53.3745,9.9,8.1
M110,M110,Galaxy,0.67280,41.6853,8.2,16.2
NGC1,NGC1,Galaxy,0.12107,27.7081,12.9,1.6
NGC2,NGC2,Galaxy,0.12142,27.6784,14.2,0.9
NGC3,NGC3,Galaxy,0.12133,8.3016,13.4,1.0
NGC4,NGC4,Galaxy,0.12345,8.3738,16.4,0.5
NGC5,NGC5,Galaxy,0.13024,35.3623,14.6,1.0
NGC6,NGC6,Galaxy,0.15908,33.3087,14.4,1.7
NGC7,NGC7,Galaxy,0.13916,-29.9150,13.8,2.5
NGC8,NGC8,Double Star,0.14592,23.8389,15.3,
NGC9,NGC9,Galaxy,0.14853,23.8170,14.6,0.7
NGC10,NGC10,Galaxy,0.14293,-33.8583,12.5,2.4
NGC11,NGC11,Galaxy,0.14514,37.4479,14.4,1.4
