id,distance_ly
M1,6500
M2,37500
M3,33900
M4,7200
M5,24500
M6,1600
M7,980
M8,4100
M9,25800
M10,14300
M11,6200
M12,16000
M13,22200
M14,30300
M15,33600
M16,7000
M17,5500
M18,4900
M19,28700
M20,5200
M21,4250
M22,10400
M23,2150
M24,10000
M25,2000
M26,5000
M27,1360
M28,17900
M29,4000
M30,26100
M31,2500000
M32,2490000
M33,2730000
M34,1500
M35,2800
M36,4100
M37,4500
M38,4200
M39,800
M40,510
M41,2300
M42,1344
M43,1600
M44,577
M45,444
M46,5400
M47,1600
M48,1500
M49,56000000
M50,3200
M51,23000000
M52,5000
M53,58000
M54,87400
M55,17600
M56,32900
M57,2300
M58,62000000
M59,60000000
M60,55000000
M61,52500000
M62,22500
M63,29000000
M64,17000000
M65,35000000
M66,36000000
M67,2700
M68,33600
M69,29700
M70,29400
M71,13000
M72,55400
M73,2500
M74,32000000
M75,67500
M76,2500
M77,47000000
M78,1600
M79,41000
M80,32600
M81,11800000
M82,12000000
M83,15000000
M84,60000000
M85,60000000
M86,52000000
M87,53500000
M88,47000000
M89,50000000
M90,58700000
M91,63000000
M92,26700
M93,3600
M94,16000000
M95,32600000
M96,31000000
M97,2030
M98,44400000
M99,50200000
M100,55000000
M101,21000000
M102,50000000
M103,8500
M104,31000000
M105,32000000
M106,23700000
M107,20900
M108,46000000
M109,83500000
M110,2690000
NGC7000,2590
IC5070,2590
NGC6960,2400
NGC6992,2400
NGC6995,2400
NGC6979,2400
NGC7331,40000000
NGC7320,290000000
HCG92,290000000
NGC7293,650
NGC869,7500
NGC884,7500
NGC2237,5200
NGC2244,5200
IC1805,7500
IC1848,7500
IC1795,7500
NGC7635,7100
NGC281,9500
NGC891,30000000
NGC253,11400000
IC434,1375
Barnard33,1375
NGC2024,1350
IC1396,2400
NGC6888,5000
NGC4565,40000000
NGC4631,30000000
NGC2403,8000000
NGC6946,25000000
NGC7023,1300
IC5146,2500
NGC1499,1000
NGC2264,2700
NGC6543,3300
NGC7662,5600
NGC7789,8000
NGC457,9000
IC342,10700000
NGC40,3500
NGC7009,5200
IC405,1500
IC410,12000
IC2118,900
NGC4038,45000000
NGC4039,45000000
NGC5128,12000000
NGC5139,17000
NGC104,13000
NGC6822,1600000
NGC2419,300000
NGC7814,40000000
NGC3115,32000000
Mel20,570
Mel25,153
Mel111,280
Sh2-101,6000
Sh2-155,2400
LDN1235,650
Sh2-240,3000
