id,name,name_fr,ra_deg,dec_deg,type,size_arcmin
IC1805,Heart Nebula,,38.2,61.45,Nebula,100
IC1848,Soul Nebula,,42.79,60.43,Nebula,100
LDN1235,Shark Nebula,,333.4,73.6,Dark nebula,90
Barnard33,Horsehead Nebula,,85.24,-2.46,Dark nebula,8
Sh2-101,Tulip Nebula,,299.97,35.27,Nebula,16
Sh2-129,Flying Bat Nebula,,314.0,59.6,Nebula,90
OU4,Squid Nebula,,313.9,59.6,Nebula,60
Sh2-155,Cave Nebula,,344.6,62.6,Nebula,50
Sh2-157,Lobster Claw Nebula,,345.4,61.3,Nebula,60
Sh2-308,Dolphin Head Nebula,,103.0,-23.97,Nebula,40
Sh2-240,Spaghetti Nebula,,84.0,28.0,Supernova remnant,200
Sh2-132,Lion Nebula,,333.6,56.0,Nebula,30
Sh2-115,Sh2-115,,312.5,44.2,Nebula,30
Sh2-112,Sh2-112,,311.3,45.65,Nebula,15
Sh2-188,Shrimp Nebula,,27.4,58.5,Planetary nebula,10
Sh2-216,Sh2-216,,69.5,46.7,Planetary nebula,100
vdB152,vdB 152,,330.8,69.1,Reflection nebula,10
vdB141,Ghost Nebula,,315.4,68.16,Reflection nebula,20
LBN438,LBN 438,,339.8,40.9,Reflection nebula,60
Mel20,Alpha Persei Cluster,,52.07,49.86,Open cluster,185
Mel25,Hyades,,66.75,15.87,Open cluster,330
Mel111,Coma Star Cluster,,186.0,26.0,Open cluster,275
Cr399,Coathanger,,290.0,20.18,Asterism,60
Coalsack,Coalsack Nebula,,186.5,-63.0,Dark nebula,420
IC2118,Witch Head Nebula,,76.9,-7.23,Reflection nebula,180
IC410,Tadpoles Nebula,,83.2,33.43,Nebula,40
IC417,Spider Nebula,,82.5,34.75,Nebula,13
IC2177,Seagull Nebula,,105.5,-10.7,Nebula,120
IC1396,Elephant's Trunk Nebula,,324.74,57.5,Nebula,170
IC1318,Sadr Region,,305.5,40.2,Nebula,60
IC4628,Prawn Nebula,,247.4,-40.3,Nebula,60
IC4592,Blue Horsehead Nebula,,240.6,-19.8,Reflection nebula,150
IC4604,Rho Ophiuchi Nebula,,246.4,-23.45,Reflection nebula,60
IC405,Flaming Star Nebula,,79.1,34.3,Nebula,37
IC434,Horsehead Nebula (IC434),,85.24,-2.46,Nebula,60
IC5070,Pelican Nebula,,313.5,44.36,Nebula,60
IC5146,Cocoon Nebula,,328.38,47.27,Nebula,12
IC1795,Fishhead Nebula,,37.5,61.9,Nebula,30
IC2944,Running Chicken Nebula,,170.5,-63.4,Nebula,40
Sh2-279,Running Man Nebula,,83.85,-4.83,Reflection nebula,20
NGC40,Bow-Tie Nebula,,,,,
NGC7023,Iris Nebula,,,,,
NGC6543,Cat's Eye Nebula,,,,,
NGC2403,NGC 2403,,,,,
NGC6826,Blinking Planetary Nebula,,,,,
NGC7662,Blue Snowball Nebula,,,,,
NGC1275,Perseus A,,,,,
NGC2419,Intergalactic Wanderer,,,,,
NGC6888,Crescent Nebula,,,,,
NGC7331,Deer Lick Galaxy,Galaxie Deer Lick,,,,
NGC4631,Whale Galaxy,,,,,
NGC6992,Eastern Veil Nebula,,,,,
NGC6960,Western Veil Nebula,,,,,
NGC6979,Pickering's Triangle,,,,,
NGC4565,Needle Galaxy,,,,,
NGC2392,Eskimo Nebula,,,,,
NGC7814,Little Sombrero Galaxy,,,,,
NGC2261,Hubble's Variable Nebula,,,,,
NGC2237,Rosette Nebula,,,,,
NGC2244,Rosette Cluster,,,,,
NGC3115,Spindle Galaxy,,,,,
NGC7009,Saturn Nebula,,,,,
NGC246,Skull Nebula,,,,,
