name,ra_deg,dec_deg,mag
Sirius,101.287,-16.716,-1.46
Canopus,95.988,-52.696,-0.74
Arcturus,213.915,19.182,-0.05
Vega,279.234,38.784,0.03
Capella,79.172,45.998,0.08
Rigel,78.634,-8.202,0.13
Procyon,114.825,5.225,0.34
Betelgeuse,88.793,7.407,0.50
Achernar,24.429,-57.237,0.46
Hadar,210.956,-60.373,0.61
Altair,297.696,8.868,0.77
Acrux,186.650,-63.099,0.77
Aldebaran,68.980,16.509,0.85
Antares,247.352,-26.432,1.09
Spica,201.298,-11.161,0.97
Pollux,116.329,28.026,1.14
Fomalhaut,344.413,-29.622,1.16
Deneb,310.358,45.280,1.25
Mimosa,191.930,-59.689,1.25
Regulus,152.093,11.967,1.35
Adhara,104.656,-28.972,1.50
Castor,113.650,31.888,1.58
Shaula,263.402,-37.104,1.62
Gacrux,187.791,-57.113,1.63
Bellatrix,81.283,6.350,1.64
Elnath,81.573,28.608,1.65
Miaplacidus,138.300,-69.717,1.69
Alnilam,84.053,-1.202,1.69
Alnitak,85.190,-1.943,1.74
Alioth,193.507,55.960,1.77
Dubhe,165.932,61.751,1.79
Mirfak,51.081,49.861,1.79
Wezen,107.098,-26.393,1.83
Kaus Australis,276.043,-34.385,1.85
Alkaid,206.885,49.313,1.86
Menkalinan,89.882,44.947,1.90
Atria,252.166,-69.028,1.91
Alhena,99.428,16.399,1.93
Peacock,306.412,-56.735,1.94
Polaris,37.954,89.264,1.98
Alphard,141.897,-8.659,1.98
Hamal,31.793,23.462,2.00
Diphda,10.897,-17.987,2.04
Nunki,283.816,-26.297,2.05
Mirach,17.433,35.621,2.07
Alpheratz,2.097,29.090,2.06
Rasalhague,263.734,12.560,2.08
Kochab,222.676,74.156,2.07
Saiph,86.939,-9.670,2.07
Denebola,177.265,14.572,2.11
Algol,47.042,40.956,2.12
Almach,30.975,42.330,2.10
Schedar,10.127,56.537,2.24
Mintaka,83.002,-0.299,2.25
Sadr,305.557,40.257,2.23
Eltanin,269.152,51.489,2.23
Caph,2.295,59.150,2.28
Mizar,200.981,54.926,2.23
Alphecca,233.672,26.715,2.22
Naos,120.896,-40.003,2.21
Merak,165.460,56.382,2.37
Izar,221.247,27.074,2.35
Enif,326.046,9.875,2.39
Scheat,345.944,28.083,2.42
Phecda,178.458,53.695,2.44
Markab,346.190,15.205,2.49
Alderamin,319.645,62.585,2.45
Zubeneschamali,229.252,-9.383,2.61
Cor Caroli,194.007,38.318,2.89
Albireo,292.680,27.960,3.05
Thuban,211.097,64.376,3.65
Algenib,3.309,15.184,2.83
Sheratan,28.660,20.808,2.64
Rastaban,262.608,52.301,2.79
Megrez,183.857,57.033,3.31
Menkar,45.570,4.090,2.53
Sadalsuud,322.890,-5.571,2.90
Sadalmelik,331.446,-0.320,2.95
Unukalhai,236.067,6.426,2.63
Zubenelgenubi,222.720,-16.042,2.75
Tarazed,296.565,10.613,2.72
